"","up_f","up","block","down","dwn_f","n","color","col"
"1",NA,NA,"A","P",0.523988852903517,6957,"#EFB4AAFF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"2",0.598980458793543,"N","A",NA,NA,6345,"#F1BBB1FF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"3",NA,NA,"A","T",0.476011147096483,6320,"#F1BBB2FF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"4",0.401019541206457,"E","A",NA,NA,4248,"#F7D1CBFF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"5",NA,NA,"Fp","R",0.740788875170576,11400,"#DE8577FF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"6",0.595870696335658,"F","Fp",NA,NA,10765,"#E08C7FFF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"7",0.404129303664342,"N*","Fp",NA,NA,7301,"#EDB1A6FF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"8",NA,NA,"Fp","M*",0.259211124829424,3989,"#F7D4CEFF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"9",NA,NA,"J","B",0.53968865174102,19622,"#B22222FF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
"10",0.502845371443286,"O*","J",NA,NA,19528,"#B32423FF","239 180 170 241 187 177 241 187 178 247 209 203 222 133 119 224 140 127 237 177 166 247 212 206 178 34 34 179 36 35 180 39 37 217 122 109 246 208 201 220 129 116 239 180 170 243 196 188 246 205 198 179 38 36 236 171 160 247 211 205 179 36 35 223 137 123 243 194 185 239 180 170 247 209 202 251 228 224 217 122 109 249 222 217 251 230 226 207 100 86 230 155 143 251 230 226 186 53 46 207 100 86 220 129 116 239 181 171"
